Comment
رني 
ما شاء اللهمباركفرحت جدا بس قرأت المنشور❤ 
ما شاء الله.. بالتوفيق سماح  
الف مبروك 
بالتوفيق دائما 
ألف مبرووووك ⚘⚘الله يوفقك 
مبارك بالتوفيق ان شاء الله 
ماشاء الله تبارك الرحمن ....مبارك لكم سماح ومحمد والله يكتب لكم الخير بكل خطوة تعملوها والله ينفع فيكم المسلمين جميعا 
مبروك يا سماح وان شاء الله من نجاح الى نجاح 
ألف مبروك ☺ 
تحية لكم من المغرب وبالضبط من شماله 
اللهم كندا 
الف مبروووك فعلا فخر وصولكم لهالانجاز  يتمنالكم التوفيق  ونشر رسالتكم  بكل مكان الله يوفقكم ^_^  لباسك الانيق اللبق واصرارك على النجاح هما مانحتاجه في هذا الزمان للاسلام 
أحسن خبر 
Arafa Khalifa 
ماشاءالله الف مبروك بتستاهلي كل خير ⁦❤️⁩⁦❤️⁩ 
Congrats samah.so proud of you sis.may God always be you.. 
الف مبارك سماح وان شاء الله منها لنجاحات اكبر واكبر  
الف الف مبروك 
Lina Yousef 
الف مبروووك ....بالتوفيق يا رب 
مباااارك سماح من نجاح لنجاح أكبر يا رب 
الف مبارك حبيبتي سماح صديقه الدراسه بتستاهلي كل خير وكتير مبسوطين فيكي 
ما شاء الله ربنا يوفقك و يسدد خطاك و يثبتك على طريق الحق 
ما شاء الله الله يوفقك سموحة حبيبتي ومن نجاح لنجاح يا رب  
مبارك 
مبارك يا رب الله يحميكم والى الامام 
الف مبروك حبيبتي سموحه منها للاعلى ان شاء الله وتوصلو اعلى المراتب 
مبارك ياحلوة..الله يوفقك وينفع فيك العباد والبلاد ❤ 
ما شاء الله مبارك  
دمتِ متألقة ودمت مصدر فخر لكل فتاة عربية ومسلمة ❣️ 
الف مبارك اختي سماح تستاهلون التفوق 
مبرووك سماح و موفقين دايما يا رب 
تستحقي كل النجاح الف مبرووك ❤️❤️ 
الف مبروك 
الف مبروك وان شاء الله للاحسن دايما❤ 
ماشاء الله مبارك ومنها للأعلى  
الف الف الف مبروك.. بالتوفيق ان شاء الله دائما 
الف مبروك الله يوفقكم 
عايزين الفيلم  
مصطفى شيخو 
Mona Yacoub هي صاحبيتك 
مبرووك الف مبروك من نجاح لنجاح وعقبال ما نشوفكم بتوزيع جوائز الاوسكار .. مو بعيده مؤمنه فيكي ❤️ 
Adham Abdelmaxoud 
ماشاءالله مبارك حبيبتيالله يجعل خطوات طريقك دائماً نجاح أعظم فأعظم والله ينفع فيكِ ويستخدمك ولايستبدلك ❣❣❣ 
نموذج عربي رائع .. متفاءل بالقادم 
ماشالله الف مبرووك بتجنني سموحه بالتوفيق والنجاح دائما ❤❤ 
Samuhacongrats beautiful u and Muhammad both deserve the best may god always be with u and help u in every step☺️ 
الف مبرووووك من نجاح لنجاح يا رب سموووحة ❤️ 
Samah baby you deserve the very best for your amazing talent and hard work! <3 <3 
Rawan Almasri 
Thair Jalal Wali 
هذا افضل رد على من أطلقوا تلك الاشاعات المغرضة عن المخرج المتميز بايزيد عن حادثة محاولة اغتياله،مزيدا من التألق. 
Hedaya Yousef 
متألقة ومبدعة دائما 
Rama Alhamwiليكا 
مبروك عليكم النجاح، ممكن اسم الفيلم ؟ 
الف مبروك تستهليها .. وديما في نجاااااحياريت تعمليلنا videos و posts عن الناس ال حبه تكمل في مجال السينما من وين تبدأ وكيف تتعلم وافضل المواقع والكتب 
مبارك الله ينفع فيكِ ❤️ 
congrats    
مبارك سماح و مزيدا من التطور و النجاح مستقبلا 
Neveen Dabbagh 
مبروك عليكم اختي تستاهلون 
الف الف مبروووك سماح 
الف مبروك سماح وطالعة جميلة بالازرق.... تهانينا لك  
الف مبروك 
Sarra El Achhab 
كل النجاح والموفقيه للاخت سماح والأخ ابازيد على هذا الإنجاز الرائع، والله افرحتني هذه المناسبه بعد كل الظلم والاتهامات لكم. سيروا على بركة الله. 
ماشاء الله بالتوفيق سماح 
ماشاء الله الف مبرووك ❤️رمضان كريـم 
الف مبروك 
مبارك حبيبتي بالتوفيق الدائم 
الف مليووووون مبروك من نجاح الى نجاح دائمآ وكل عام وانتم طيبين ياحبيتى واسرتك الكريمه بخبر يارب رمضان كريم عليكى وعلى حبيبك يارب  
ألف مبروك حبيبتي  
مبرووووك ياروحي منها للأعلى منها....نحن دائمآ فخورين بك وب محمد بايزيد...انتم ثنائي رائع..وتستحقون الشكر والدعم والتميز..❤نتمنى ان نرى المزيد من الأعمال لكم ..الله يسعدكم ويحفظكم ويسدد خطاكم❤❤❤❤❤ 
الف مبروك احلى سموحه من نجاح لنجاح أكبر و أكبر انشاء الله  
Abdalrahman Alshazely دي ياها سماح فر فِ حسابا 
الف مبرووووووك ❤ بالتوفيق دائما ❤ 
Congrats ya helwa . In Ontario and didn't  tell me ... Ra7 akhdek mokhalfa . When are you leaving ? 
مبارك بالتوفيق دائما 
مباركبالتوفيق 
مبارك حبيبتي  
