Comment
يعني التوجيهي يصير على سنتين!!!!
حسبي الله ونعم الوكيل فيكم وبهيك قرار غبي 
Fakhria Obido ??
#يسقط_امتحان_القبول_الجامعي#لا_لإلغاء_الترتيب_التنافسي#
#لا_لاحتساب_٦٠بالمئة_من_معدل_الثانويه_العامة#لا_لامتحان_القبول_لطلبة_٢٠٠٣
#لا_لاحتساب_٦٠بالمئة_من_معدل_الثانويه_العامة#لا_لامتحان_القبول_لطلبة_٢٠٠٣
عبيدة سليتي
#لا_لاحتساب_٦٠بالمئة_من_معدل_الثانويه_العامة#لا_لامتحان_القبول_لطلبة_٢٠٠٣
#لا_للتعليم_عن_بعد#لا_لتعليق_المدارس#اعطوا_الاهل_حق_الاختيار#نعم_للتعليم_المباشر#جيل_2003#لا_لاحتساب_٦٠بالمئة_من_معدل_الثانويه_العامة#لا_لامتحان_القبول_لطلبة_٢٠٠٣
#لا_للتعليم_عن_بعد#لا_لتعليق_المدارس#اعطوا_الاهل_حق_الاختيار#نعم_للتعليم_المباشر#جيل_2003#لا_لاحتساب_٦٠بالمئة_من_معدل_الثانويه_العامة#لا_لامتحان_القبول_لطلبة_٢٠٠٣
Om Abdullah
#امتحان_القبول_الجامعي_مرفوض
Mustafa Saleh
Bassam Nahnoushطلع جدددد خلااص
#امتحان_القبول_الجامعي_مرفووض
#امتحان_القبول_الجامعي_مرفووض
#امتحان_القبول_الجامعي_مرفووض
#امتحان_القبول_الجامعي_مرفووض
عالاقل نضمن بوزارة التربية والتعليم العدالة وصحة العلامات،، بس بجامعات اول معيار قبول هو الواسطةبعد الضغط النفسي بالتوجيهي يرجع طالب بضغط نفسي آخر بالمنافسة بالحصول على تخصص
امنة محسن
ترى الكل معارض ف ياريت تلغوا القرار لأنه قرار فاشل و رح يظلم كتير طلاب و حسبي الله ونعم الوكيل فيكم وزارة فاشلة
عبدالله حمود الغيالين
Abdullah Alshorbaji
الاحسن تلغوا التوجيهي لانه صار شوربة
Bara'a Queen  اذا فهمتي شي احكيلي
#لا_للتعليم_عن_بعد#لا_لتعليق_المدارس#اعطوا_الاهل_حق_الاختيار#نعم_للتعليم_المباشر#جيل_2003#لا_لاحتساب_٦٠بالمئة_من_معدل_الثانويه_العامة#لا_لامتحان_القبول_لطلبة_٢٠٠٣
ردينة العبادي
Ph S Alzubaidy Alzubaidy
بلال الشخانبة ابو أوس
Shorouq AymanRanDa Ibrahimالحقونيي
حرام عليكم القرار إللي طلعتوه للتوجيهي ،اتقوا ربكم ،12سنة الطالب يدرس وتضيعوا حياته بقرار راح يستفيد منه أصحاب الواسطات#جيل_2003#لا_لاحتساب_٦٠بالمئة_من_معدل_الثانويه_العامة#لا_لامتحان_القبول_لطلبة_٢٠٠٣
المقابلة فيها تحيز
تم ارهاق الطلبة بالامتحانات وعلامة التوجيهي اكثر عدالة اما ما يخطط له وجعة راس وتحكم في الطلبة عن طريق فرض التخصص عليه بعد نهاية السنة اﻷولىالمعمول به حاليا الطالب على نور من البداية
Waleed Al Saadi
مهو ٢٠٠٣ ٢٠٢٠-٢٠٢١ القرار هان ل ٢٠٢١-٢٠٢٢
Hetham Elkordii#امتحان_القبول_الجامعي_مرفوض
#امتحان_القبول_الجامعي_مرفوضكلها واسطات راح يكونن  وتعبك علفاضي
⁦قرار ناجح .
a% مكرمة جيش b% للمعلمين c% لابناء الدكاتره والعاملين x%  r% للتعليم الموازي d% للاخوة العرب g% مقاعد خاصة 1-a-b-g-d-h-k-l المتبقي من المقاعد لطلاب التوجيهي وبدكم تلاحقونا عليهن حولهن لجامعات خاصة افضل بدل استهلاك الميزانية بدعم الجامعات 
#امتحان_القبول_الجامعي_مرفوض#امتحان_القبول_الجامعي_مرفووض#لا_لامتحان_القبول_الجامعي_2021_2022
والله بتلعبو في التوجيهي لعب من غيرتو القوانين ضاعت هيبتو رجعو ع ما كان علي افضل ما سدقت ويسير عندي توجيهي حرااام عليكو ضيعتو التوجيهي خااااافو الله
Qais Al Adamatاحسان العنيزان
#امتحان_القبول_الجامعي_مرفوض
#امتحان_القبول_الجامعي_مرفوض
#امتحان_القبول_الجامعي_مرفوض
#امتحان_القبول_الجامعي_مرفوض
Mervat Bany SakerMontaha Ahmad
Rakan Alqadan شايف السنة الجاي مش هاي 
@وجدان شهاب
بس ع فكره هاد قرار ضالم بحقنا احنا طلاب التوجيهي شو ذنبنا هيك الواحد بتعب وهو بدرس وبعدها بنحسبلو ٦٠%من معدلو بس حرام هيك
Haitham Aljabery
قليتو هيبة التعليم الله يقل هيبتكوالله يرحم ايامك ي ذنيبات
مرفوض قرار ظالم
